Місяць,Середня температура повітря (°C),Відносна вологість повітря (%),Швидкість вітру (м/с),Кількість опадів (мм),Сонячна радіація (МДж/м²),Тривалість сонячного дня (годин),Температура ґрунту (°C),Вологість ґрунту (%),pH ґрунту,Вміст органічної речовини в ґрунті (%),Вміст важких металів у ґрунті (мг/кг),Вміст викидів пилу у повітрі (мг/м³),"Концентрація діоксиду азоту (NO₂, мг/м³)","Концентрація діоксиду сірки (SO₂, мг/м³)",Присутність фосфатів у водоймах (мг/л),Біомаса рослинності (кг/м²),Чисельність травоїдних тварин (особини/км²),Чисельність хижаків (особини/км²),Чисельність декомпозиторів (особини/км²),Різноманіття видів рослин (кількість видів)
1,-9.337162305686709,48.86885409182646,2.2761193728614506,72.39660239977712,12.92897618250449,5,-8.552173147036076,29.958474881821235,6.314486649402013,3.704319989272883,0.24137444283137702,115.49455131639012,37.80769779262359,17.03569443945323,0.4433932194281113,3.153098935533965,261.12247253182346,13.641364974043114,3075.0302151120477,191.64512298497243
2,-3.427127318368976,64.68238034973501,4.299029067453812,87.94013772329203,9.851166986410494,6,-10.695473756583334,25.987316875137,5.6065545243324175,3.137305718499464,1.6345612498197817,54.85418641853269,47.25261916294133,19.33736999924956,0.40974998737490825,3.9567516164722196,182.69102787785943,19.22998880347429,6771.251114528588,123.92078836821356
3,0.8470400478314866,67.66391160285426,6.918935597639938,77.58062395265497,15.02301045890128,8,5.6772705194765845,26.86399177221881,6.701113096250447,2.404803753009411,1.592342134976991,19.155185437337213,49.70000367045358,17.4268773490952,0.33874619791083943,3.883123701490587,203.1175703640523,6.410822018608702,4695.366305108901,91.58062784854143
4,8.694775279844368,60.6813320132513,7.971406717499051,55.26362929338605,12.120204362376182,10,6.039442754836921,23.496806046317573,6.120977136088289,2.782981446224684,1.538791672774589,61.243880708727154,12.055986917564475,10.155159288424713,0.32290038185464326,3.348949553370628,290.48417034809034,23.6555105368744,3716.3870706262765,94.86789188074364
5,11.296299901708894,68.24588955007515,5.588949826981057,70.99313647997272,8.556997346826044,12,11.47288336219891,17.302383737465973,7.494129605436026,2.51368944459004,1.2560970223465415,21.93292712747941,31.981103036068784,5.958709636295839,0.09617952948611379,0.8955885571874678,136.68133847085664,13.593285442693228,6698.144605461923,83.8531177070793
6,16.295801126609653,67.15803058663585,7.187056296400061,36.53412544193084,14.042211745420657,14,29.4014142001661,18.688823476902808,6.81338459983278,2.4398998210169602,0.14492892203334268,147.484676599462,21.9892340214548,9.183530760827324,0.48689011525481296,3.0488173331709083,196.3244719851208,22.483084877333923,5824.44925021552,164.50038204394735
7,19.0078384712988,58.57741389022996,3.656172860497148,16.351267466530494,11.188984952696432,14,28.404337135328667,14.46244199936047,6.262566859719635,3.917512465751462,1.2007168493587055,132.28603752838524,41.64923878601534,19.484165784290443,0.30262472195555484,2.944635782440692,265.1265647036007,25.9998111206317,5890.412315196758,125.03843140609627
8,19.824896435230205,79.47470892709327,7.989898980135745,85.41162567626313,7.111839772208063,13,18.55550907654259,20.622125947491277,7.595879930751401,4.678660018143967,0.6412961570850438,107.66793758087825,13.112568246102537,11.143599079531416,0.2484678627984237,3.1797148521469056,272.9930592092801,13.432080895611405,4458.04167456426,147.11723335512863
9,13.286872289468146,84.349219592832,8.881969416130222,36.676254597995495,12.619193464985726,11,9.616812264944887,22.86259797258337,7.208330862058212,2.2565632783789633,1.7532226891338163,95.15569224028877,49.584115943080064,5.383872608742548,0.41743419203813376,3.2718706688909163,83.21312801000809,13.382640877085167,7135.971522831295,127.76814426083814
10,9.01281487467239,80.74733945128787,1.8401007202935529,52.58105046120308,14.785611469630284,9,12.170828780300251,16.606911360222288,6.908282261335842,4.125685292857945,1.211282273920727,107.4024005069385,20.24314957555162,17.492734254076737,0.23034787312263522,3.9552834543659907,55.82133016673439,14.507884281191084,1853.5628922883313,133.341429049108
11,-0.29756433938471094,73.18650759553668,8.936792761037669,28.97959182238998,7.410164274526975,6,7.881072157384136,19.03179787721264,6.586459087397575,2.6629085073306067,0.9080982492971795,46.22550986552959,36.63709762536724,12.483146187201307,0.3961496185218254,1.5945484062355306,176.39875386475944,11.48808307442836,7508.554476849737,128.29035016866547
12,-7.132687518410284,52.274454664451305,1.7461176771165414,12.503439603796007,12.888827391060065,5,-7.943156162115921,34.09433638150766,5.92832849090371,4.381737958210836,0.7003457401665152,45.1775471179252,48.78547276005229,17.038648981186483,0.3190042368082125,2.939923630283132,297.8453687126474,19.83018522062217,1264.2533810522007,59.72991900520721
1,-6.666966112630632,69.59205147663167,7.733564136802798,19.790085720935238,19.173534121327577,5,-6.732623791340329,26.238888025530386,5.587130958445326,4.8829226435467215,1.1689245126135024,91.05402025427486,47.74221264921519,18.94025267275501,0.1179463099904484,3.7588458766707524,234.15532234501535,5.472518183285437,2298.8236155375375,111.94702182071696
2,-5.0858877224712264,71.55983787199101,2.8918935456120938,85.303046284632,17.68572985833732,6,-3.47501771109134,33.02734776289246,7.53245606724297,2.6648709778806228,1.617486045989685,143.6822806316692,15.504257880737239,19.680468271865436,0.022246470417344226,2.327585356708203,243.47328474462105,24.76095256365636,6010.044268597009,129.40270591297428
3,2.5567502544927683,71.49694835439013,5.450853017925061,63.611647762117386,17.695520801863598,8,-1.6810566405209375,23.08015817421581,5.52119930256377,4.06230919933038,0.47123238276819934,79.9351692513588,18.408208651218374,5.353005718677385,0.24677807033202814,1.9869176231374746,156.28737838109515,10.220153998221758,7604.034423111344,50.52607277160418
4,13.915454499973386,73.1605865412767,2.5486483017994432,52.497278767319905,19.83275122262409,10,12.873964739686146,13.184418095466688,6.644105597141079,3.404609289718437,1.624300332477906,138.681995931531,13.289661731549383,9.710559304292484,0.15623468217370634,3.986168437216564,189.80677917284993,26.99578740299961,3695.2463708361793,158.40847256134046
5,12.86585642304146,81.03037105701551,5.096316168878804,82.33529475844784,8.837253250138472,12,18.872086838437582,20.128960110000897,5.578598557436368,3.2390247612771903,1.145041119335299,35.487817878278655,17.356524207704602,11.972941974847354,0.17793755909236927,2.0425918830117693,165.20674733068068,8.50190109256889,1858.9593145258605,177.22480902192416
6,17.44078033965726,69.96614498537174,4.766752420910128,97.14130173726768,5.991565428323563,14,30.75972165076905,22.286230777565535,5.513380927160472,2.790980656818661,0.8746240198436119,57.41629171560489,24.497978560557332,18.750078637057698,0.18685767587224056,1.9659028279095647,240.2828883945282,24.84583914370938,1130.6723884002095,155.61050518505064
7,25.238579305151635,46.02342519569449,3.3823950755219587,14.053194757586681,10.403557832177528,14,19.385161008350604,19.55258493450044,6.950851368826892,4.19701865610986,1.2501687744631065,106.58093580509268,44.625564824751734,18.107366651922664,0.43175248069599526,1.036091204178343,112.76728339841134,17.5581326231893,3190.5447051202027,69.75034524199448
8,20.02850328447912,83.89429427495375,4.122340799468826,47.70226614663653,5.096021327859455,13,28.26595711496477,20.338751638634495,5.757850157237903,4.905670214914016,1.5771231039116649,113.03026207341813,48.31489339366678,11.112201267757067,0.36208143474329973,1.2217276408490787,224.28013686303,5.351977304690071,1447.290353304606,113.78883779042727
9,10.120926948060081,60.788463495268864,5.705125741585035,65.94459378283739,6.505800154904246,11,8.620238262544246,25.33208426792988,7.145469281156599,2.0777006846308286,1.1266979880185726,120.9725338198424,12.764035111415764,11.197592978697795,0.1699905237847499,3.6978296887320585,96.45059830161384,12.959010328612004,7238.335587434773,99.59799590899593
10,10.313474405855944,41.48659017538957,9.864121925575326,84.24520370840706,14.516014171200144,9,1.215105461799606,11.871749034319517,6.862434076976724,2.8551933086103025,1.2832999502560294,95.75598504944928,43.546055931171914,9.220655910689636,0.2931531270005863,3.2207716159356634,172.69324658058156,25.766091623473613,1484.5715118032972,160.0846647720715
11,4.6008746406468495,54.93474944471048,4.297027981707684,17.519470947176924,14.622391693620676,6,2.391662335792793,11.008643968309194,7.380530067428279,4.487853487235075,1.8235272478674327,88.67410163303668,28.103201396070293,18.142057317981163,0.20536144134338813,2.794050938320966,203.84056410023157,14.304027495462798,1151.674531745361,53.21233080060286
12,-5.858811297323064,61.654070867051054,8.404104413709028,47.2970484920324,9.217398121002038,5,-6.0685529788727015,15.94976201060053,5.728401527787391,2.3391291010583215,0.7063934738041624,16.711316370396244,18.808131467249524,16.812847113985306,0.12496242429085232,0.8875532886383056,287.2701399986348,20.561752908790485,950.1946207674939,59.336594974235425
1,-6.939389371504152,64.30579609292103,1.6153729515368636,30.188392747600183,18.935643717283824,5,-6.419837842784741,21.008134953695755,6.125388529800915,2.4010941269056127,0.865000199810294,139.51948550972557,11.948455827101668,19.864682239143,0.11182823289898382,1.9306857613965325,61.26282704142939,19.61955507770078,4126.664490507437,150.00605521021697
