Місяць(1-12),Середня температура повітря (°C),Відносна вологість повітря (%),Швидкість вітру (м/с),Кількість опадів (мм),Сонячна радіація (МДж/м²),Тривалість сонячного дня (годин),Температура ґрунту (°C),Вологість ґрунту (%),pH ґрунту,Вміст органічної речовини в ґрунті (%),Вміст важких металів у ґрунті (мг/кг),Вміст викидів пилу у повітрі (мг/м³),"Концентрація діоксиду азоту (NO₂, мг/м³)","Концентрація діоксиду сірки (SO₂, мг/м³)",Присутність фосфатів у водоймах (мг/л),Біомаса рослинності (кг/м²),Чисельність травоїдних тварин (особини/км²),Чисельність хижаків (особини/км²),Чисельність декомпозиторів (особини/км²),Різноманіття видів рослин (кількість видів)
1,-5.43709833134717,41.5354492302915,11.7599799579636,63.6417349752228,21.8067408442072,5,-7.11319641204718,11.6163726728711,5.77459180600363,1.75023964700892,1.07538796477929,103.032564365084,34.453722422507,14.9372357441206,0.0143963534235222,1.59029590078863,105.558844163612,13.4640647591027,5609.87700890081,59.930291646168
2,-2.54136071361546,74.2298150076391,5.51388991400696,23.2850372567768,7.95903510331974,6,-9.80119367275062,21.7899760411518,7.18281907323795,3.17832520360124,1.33282150078814,94.509317452315,23.6535884845848,7.5730621426072,0.126037605671672,0.870298183073738,189.625908276467,3.30587433920489,4484.62470265502,47.4056495356951
3,3.01253725556677,30.4526940876206,7.83658676328228,45.7810400512601,20.9484201278325,8,12.1382195497025,14.552780451689,7.42477414276973,3.33338833238402,0.167685580324447,12.5548905321332,7.91367578828876,6.09662799486732,0.0729047063736735,3.49904038144591,158.92323272694,7.91391521788708,1523.40414040681,74.9299189774925
4,13.0018721344714,71.3932383262839,7.0768761580153,79.7769865084668,9.28732083376282,11,18.6125185841375,29.3645610864162,6.47455157458428,2.06882101776452,1.3676940575199,103.795651420969,35.828944637523,5.47496135207752,0.0743931231301958,1.3027228923767,187.185930364608,6.66066895718579,6800.37741958037,145.382312814755
5,17.6411906485729,32.9774559260951,2.39926586361328,9.63994549186119,9.6118363952324,13,10.6020624758565,27.8920089659286,6.0301729207308,1.70268186687294,0.195232865608913,32.9209631942638,26.7960994943727,9.46862890913361,0.373392362154592,0.339266481458179,152.92988138725,15.282371514233,1825.49349265814,159.317635222028
6,26.2201037963343,56.241659101199,8.87276643799474,46.9656588969089,20.8650457739758,15,33.6057984329721,16.5266691912102,5.68021981400323,2.33617094145646,0.359614853356269,91.7918910121518,29.1561972457505,7.02622192449143,0.263171357864668,1.38318183691239,46.9728950729677,4.73627829130962,3818.91639457774,125.249338034939
7,25.0105516502929,68.575424293701,9.83262894408491,65.1080629751015,16.2504561864721,15,16.6133038834255,16.483852255195,5.74705541813502,2.6172888258577,1.03990635227303,85.3967578059378,21.7004065425866,11.401324310158,0.0460468570618604,3.44192081865949,35.6802632348747,17.7500290664684,4454.4811962287,112.469581274993
8,29.7349046521908,55.1236493402736,11.455682248226,43.6183022939665,22.4811304896076,14,24.1007535542369,23.1302453330377,5.57051839918636,2.19233274337406,0.220490248010557,82.4199378165743,24.8880539829801,12.2547229175798,0.360542154726942,1.23898569865954,154.192212530065,15.4020425707625,3587.67259407508,66.0722452668381
9,13.0914428991185,49.3202094059467,3.74537156985115,58.79646979974,8.27778723267934,12,27.8604789187443,23.6178442985478,7.15949406399026,3.41838595960306,0.263558323075141,41.7699825525467,24.2304807880838,14.8684977535636,0.35499307031583,0.315133657491377,103.598305005738,17.2501790391422,3729.04083441018,54.6633857834986
10,9.53573480517681,62.9988899641412,7.13647308644685,32.2635284032283,19.7346602902969,10,11.7045076293583,28.7228744183904,6.81324368295656,2.2956252234772,1.23531080072985,24.5953547465767,34.4817819559588,14.9457018438744,0.165854219240107,0.51858948298568,91.655802286766,3.68435526063532,5325.29267406316,126.546524770026
